,entity_1,entity_2
1148,Sequence,Algorithm
1149,Objective,Level
1150,Sentencia,Linea
1151,Materia,Nota
1152,Order,Complex Pattern
1153,Flight Object,Plane
1154,Membership,Element
1155,Init,Flow Chart
1156,Anotaciones,Anotacion
1157,Assignment,Statement
1158,economic_value,bessemer
1159,Function,Descriptions
1160,Criteria,Technical Indicator
1161,deviation,Then
1162,defense_intelligence_agency,Martes
1163,Objects,Device
1164,Connectivity Var,Var
1165,Annotation,Expression
1166,Morph,Display
1167,Channel,Interceptor
1168,Delete,Update Object
1169,Base You,gens
1170,Class,Modifier
1171,Expression,expression
1172,character,character
1173,Fork State,State
1174,Energy Consumer,Conducting Equipment
1175,Type Definition,Edl Document
1176,Base Courses,economic_value
1177,Payment Item,Volume Payment
1178,Command Connection,Item
1179,In Output,Value
1180,Operation Stat,Compound Stat
1181,Tab,Tabs Collection
1182,Function,Function
1183,Unary Expression,Negation
1184,State,Identifyable Element
1185,Context Mapping,Physical Context
1186,Enum,String
1187,Operation,Service Description
1188,Value,Calculation
1189,Straight Section,Section
1190,Transformation Definition,Require Declaration
1191,belongings,Foreign Key
1192,Entity,Communication Object
1193,pick,Vote Content
1194,Plan Element,Abstract Plan
1195,Attribute,Attr Map
1196,parametric_quantity,figure
1197,Internal Input,Behavior
1198,Counter,Named Element
1199,Message,Info Type
1200,Feature,One Of
1201,Part,Module
1202,Software,Node
1203,Description,Profile
1204,Invariant,Not Inv
1205,Source,Rest Service
1206,Path,Export Json
1207,Statement,Els
1208,Stakeholder,Archimate Element
1209,Provenance,Approved By
1210,Role,Global Element
1211,Related To,Component
1212,Social Media,Twitter
1213,Expression,Result Exp
1214,expressionist,point
1215,Pessoa,Fisica
1216,Id Element,Model Trace
1217,Custom Decoration,Decoration Figure
1218,Dependency,Transitive Dependency
1219,Application,Notifications
1220,With,With_ Directly
1221,Base Example,benniseed
1222,ayin,knob
1223,Application Element,Service
1224,Attribute,Basic Type
1225,Node Graphics,Line
1226,Expression,Filter Pattern
1227,External Service,Service
1228,Meta,Identification
1229,Table Name,Base Table
1230,Module,Contract Module
1231,Common Param,Configuration
1232,Transform,Rotate
1233,Role Equivalence,Role Constraint
1234,Cell,Table Element
1235,Point,Model
1236,App,Asset
1237,Slice Record,Registry Record
1238,Message Constraint,Expression
1239,If Statement,Condition Expr
1240,Statement,Method Declaration
1241,Evento,Producto
1242,economic_value,As
1243,Enumeration Dto,External Reference
1244,computer_architecture,Vars
1245,Input Format,Input Split
1246,Ref Goal,Use Case
1247,Deviate Substatement,Default Statement
1248,Receiver,Receiver Ports
1249,Parameter,Action
1250,Owned Artefacts,greenwich village
1251,Ctrl Unit10,wtc
1252,pang,Id
1253,Action,Output
1254,Scalar Operand,Operand
1255,wtc,Ctrl Unit34
1256,nitrogen,roentgen
1257,Expr,Pilas
1258,Sequence Type,Complex Type
1259,Article,Author
1260,Statement,Function Decl
1261,Project,Partner
1262,Message Set,Message Definition
1263,Postre,Ingrediente
1264,Critic Object,Castle
1265,Allocation Predicate,Check Predicate
1266,Accept Clause,Accept Statement
1267,theoretical_account,degree_centigrade
1268,Wire,Composite
1269,High Light,Ambientlight
1270,tile,Model
1271,Modify Operator,Modify Property
1272,Action,Measure Action
1273,Role Node,Role Node
1274,military_operation,gens
1275,High Limit,Limites
1276,Source,Box
1277,Elem1,Model
1278,Realtimestatechart,Transition
1279,Characteristic,Plan Element
1280,Extension,Library
1281,microphallus,captainship
1282,disfavor,individual
1283,Contextual Element,Argument Element
1284,Control,Validation Binding
1285,Element Reference,Function
1286,System,System Capability
1287,Value Decl,Date
1288,Equitable Query,Logical Operator
1289,Interaction Constraint,Interaction Operand
1290,Log Action,Audit Log
1291,Sequence Type,Restriction
1292,Expression,Precedence
1293,And Split,Split
1294,Requirement Relation,Package System
1295,Union Type,Aggregate Type
1296,Base Hwmapping,Mappingname
1297,Valor,Tipo Decimal
1298,genus helleborus,accountant
1299,Diff,Refactoring Type
1300,parotid gland,Css Value
1301,Tuple Value,Null Value
1302,Table,Graphical Component
1303,State,Statement Sequence
1304,Name,Connector
1305,Deployment Target,Element
1306,Datamining,Data
1307,Managed Component,Component
1308,Bill,Tutti
1309,Area,Element
1310,Color,Facet
1311,parsonage,obturator
1312,Obstacle,Campement
1313,Flow Object,Start Event
1314,Source,Focus
1315,Element Declaration,Particle
1316,Declaration,Reference Expression
1317,Expression,Model
1318,Named Element,Import
1319,Hyper Edge,State
1320,Signal,Event
1321,Named Element,Objective
1322,Boolean Condition,Work Piece
1323,Instance,Instance Ref
1324,Restrictions,Base Union
1325,Namespace,Type Declaration
1326,Element Access,Member Access
1327,Type Reference,Interface Element
1328,Number Value,Long Value
1329,Project,Functional Architecture
1330,Definition,Method
1331,Propertie,Extends
1332,Query,Alias Definition
1333,Outcome,Test Case
1334,Spotify,Playlist
1335,Notification Substatement,Notification Statement
1336,coordinate_pair,schtick
1337,Classification,Category
1338,Owner,Branch
1339,Group,Any
1340,Creation Card,Creation
1341,School,Class Room
1342,Select Statement,Where Clause
1343,Empty,Expression
1344,Send Action,Signal
1345,Vehicle Type,Model
1346,Semester,Study Program
1347,Feature,Commented Element
1348,Row,Rel Model
1349,Primitive,Sphere
1350,Standard Node,Node
1351,Workflows Root,Join Node
1352,Variacao,Pontode Variacao
1353,Stopped,Used Machines
1354,Quads,Veicolo
1355,Mapping Model,Endpoint
1356,Content,Properties
1357,Units,Model Fastadn
1358,Output Event,Output Function
1359,Performance Profile,Dag Node
1360,Primary Expression,Dispatch Expression
1361,Event Method,Parameter Types
1362,Comp,Comp
1363,Compound Element,Null Element
1364,Bbbb,Cccc
1365,Alphabet,Machine Turing
1366,Fin,Fin_de_manche
1367,Outgoing Transitions,Outgoing Transitions
1368,Column,Cell
1369,Not,Expectation Op
1370,Channel,Named Element
1371,Tool,Collection Method
1372,Entityt Reference,State Condition
1373,Issue Tracker,Issue
1374,Prop,Obl
1375,Author,Record
1376,Domain Engineering,Mechanics
1377,Value,Read
1378,Section,Has Attributes
1379,Concept A11,Concept B11
1380,Sensor Placement,Sensor
1381,Transport,Deployment
1382,declarator,direct_declarator
1383,Block,Repetition Instruction
1384,Object New,Created Object
1385,Or,Inst_ B24
1386,Bean,Bean Property
1387,Node,Task Wrapper
1388,Delete,Identifiable
1389,Page,Website
1390,Order,Order Details
1391,Flock Precedence,Flock
1392,Attrs,Acronym
1393,Output,Output Set
1394,H4,Inline
1395,Produktliste,Dateiart
1396,Service List,Backend
1397,Fml,economic_value
1398,Request Datum,Request Specification
1399,Ranking Owner,Ranking
1400,Business Actor,Active
1401,Pattern Container,Interm Pattern
1402,Enumerator,Data Type
1403,Bitmap,Extent
1404,Base Package,bundle
1405,gens,Employer
1406,Text,Uri
1407,Table,Bridge
1408,Train Table,Train
1409,Logical Resource,Structured Resource
1410,specification,Meta Crysl
1411,Command,Pattern Object
1412,Multiplicative Expr,Union Expr
1413,Access Context,Access Context
1414,beginning,beginning
1415,Gate,And Gate
1416,component,clone
1417,Decl,Primitive Decl
1418,Positive Number,Fraction
1419,stunt,accomplishment
1420,Actor,Package Declaration
1421,Package Fragment,Named Element
1422,processingdeclaration,statement
1423,Or Expression,Expr
1424,Package,Source Directory
1425,List Type,Composite Type
1426,Part,Library
1427,Entity,Data Source
1428,Node,border
1429,Geom,Cell Type
1430,System Document,System
1431,Compare,Condition
1432,Dependent,External_ Allowance
1433,Message Type,Message Event
1434,Trace Definition,Trace Element
1435,Expression,Annotation
1436,Sistema,Activity
1437,Arch,Breeze
1438,Relacion,Composicion
1439,snobbery,eskimo
1440,Annotation Graphics,Labeled Element
1441,Access Exp,Exp
1442,Vision,Mision
1443,chromatography_column,pinstripe
1444,Level Case,Level
1445,State,On Exit
1446,testlist_comp,comp_for
1447,Constant Expression,Generic Expression
1448,Capteur,Device
1449,Directorio Padre,Plugin
1450,Team,Standing
1451,Click,degree_centigrade
1452,Project,Dependency
1453,Document,State
1454,Times,Timestamp
1455,Statement,Triple
1456,Main,Body
1457,Programme,Semester Container
1458,Log Action,Action
1459,Programme,Machine
1460,Target,Describable Element
1461,Configuration Template,Mapping Entity
1462,knob,calciferol
1463,Array Initializer,Expression
1464,Condition,Logical Exp
1465,Return Value,User Communication
1466,Custom Type,Complex Type
1467,Visual Port,Analog Lamp
1468,Dummies,Named Element
1469,Root Element,Kinematic Module
1470,exploiter,seaborg
1471,regression coefficient,economic_value
1472,Folder,Doc
1473,Argument,Reference Arg
1474,Precondition Statement,Boolean Precondition
1475,Assembler,Machine
1476,bid,bend
1477,Link,Association
1478,Process,Data Type
1479,Megal Declaration,Megal Pair
1480,Bindable Value,Enumerator
1481,Jeu,Lieu
1482,Classifier,Environnement
1483,Translation Unit,External Declaration
1484,Flow Specification,Interface
1485,Named Element,Player
1486,Named Definition,Float Type
1487,Core,qaref
1488,Platform,Meta
1489,Equality Op,Equality Eq
1490,And Exp,Bool Exp
1491,Entry Parameters,Simple Screen
1492,Assignment Statement,Assignment Target
1493,Url Tag,Tag
1494,Cardinality,Located Element
1495,Filter Spec,Match
1496,With Hiddens,Model
1497,Element,Business Element
1498,Domain Attribute,Entity
1499,Workflow,Resource
1500,Entity,hermann snellen
1501,Tags,Article
1502,Business Role,Node Element
1503,Node Graphics,Fill
1504,Namespace,range
1505,Multi Choice,Option
1506,Rel Edge,Rel Inst
1507,Classe,Generalization
1508,Benutzer Tag,Tag
1509,Task,Polygon Task
1510,Leiter,Gruppen
1511,Knowledge,Place
1512,Data Group,Actor
1513,Model Element,Association End
1514,Widget,Archives
1515,Data Element,Event
1516,Return Statement,argument
1517,Uriref,Directive
1518,Track,Track Object
1519,Test16,Test17
1520,Connection,View
1521,gens,tin plate
1522,Role,Role Permission
1523,Variable,Variable Declaration
1524,Destino,Clase
1525,Choice,Children
1526,Input Condition,Negation
1527,Operations,Located Element
1528,merchandise,refuter
1529,Vector Type,Complex Type
1530,Method,Frame
1531,Governor,State
1532,Article Data,Thread Data
1533,Connection,Slot Instance
1534,Type Entree,Entree
1535,App Constants,Packages
1536,Person,Root
1537,Select,Component Property
1538,Player,Job
1539,Cast Expr,Castable Expr
1540,Action,Labeled Transition
1541,File Version,File Entry
1542,Base Minus,look
1543,Prim Param,Param
1544,Global Variable,Program
1545,Int Param,Postinst Python
1546,Clase,Delegado
1547,Condition,Null
1548,pacific yew,economic_value
1549,Operation,Print
1550,Value,Base Main
1551,Logical Source,Element
1552,Organization,Department
1553,Clafer Model,Clafer
1554,Technology Element,Technology Function
1555,Sketch,element
1556,Value Specification,Name Expression
1557,Project,Decorate
1558,Abstract Entity,Entity
1559,Sim Tariff,Tariff
1560,Method,Behavioral Feature
1561,Power,Proposition
1562,Advise,Aop Aspect
1563,coreopsis,wording
1564,Model,Boolean Values
1565,Value Expression,Select Expression
1566,Equality Expression,project
1567,Types,Value
1568,Print Var,Statement
1569,Refined Transition,Transition
1570,Interface,Configuration
1571,Condition Type,Func Call
1572,Roundtrip,Http Request
1573,characteristic,astronautics
1574,State Literal2,State Variable
1575,Field,Calculated
1576,Postinst Wm,String Param
1577,Time Value,Time Interval
1578,Workflow Wps,Work Flow
1579,Proof,Term
1580,Validator Reference,Constraint
1581,Data Flow,Capacity Bound
1582,Primitive Expression,String Expression
1583,Platform Model,Platform Component
1584,Data Type,Formal Parameter
1585,Slave,Object
1586,merchandise,variant
1587,Type,Map Type
1588,Color,Format
1589,Base Item,Name
1590,With Query,Model
1591,Argument,Directive
1592,Unary Operator,To Double
1593,Abstract Role,Base Fulfillment
1594,look,Variable Assignment
1595,Task,Line Task
1596,Function,Function Type
1597,Loop,Unnamed Program
1598,Unary Expression,Function Call
1599,Requirement,Stakeholder
1600,Content,Table
1601,Topic,Message
1602,Pattern Catalog,Patterns
1603,Database Syncher,Task
1604,Goal,Outcome
1605,Geom,Move To
1606,Majordomo,Program
1607,Mission,Operator
1608,Boolean Constraints,Feature
1609,Nodo,Modulo
1610,Rule,Derived Rule
1611,base_of_operations,fun
1612,Class Definition,Source
1613,List Substatement,List Statement
1614,Goal,Safety Case
1615,Fault,Threat
1616,Program,Group
1617,Interaction Signature,Announcement Signature
1618,Monitored City,Statistic
1619,quadratic_bezier_curveto_argument,coordinate_pair
1620,Integer,Value
1621,Position Group,Column
1622,Discovery Server,Custom
1623,Page Elt,Page
1624,Element Group,Row Element
1625,construction,figure
1626,Rule,Symbol
1627,Class,Attributes
1628,anonymous ftp,component
1629,Container Style,Container Representation
1630,Interm Observable,Interm Component
1631,Exchange Rule,Query
1632,Expression,Dom Element
1633,Line Task,Coordinate
1634,Language Concern,Perspectives
1635,Concept,Element
1636,Employee Statistics,Statistics
1637,Element,Mapping Element
1638,Named,Component
1639,Binary Expression,Sub Expression
1640,Action,Cycle
1641,Game,Tournament
1642,Method Element,Method Unit
1643,Where Clause,Operation
1644,Type,Variable Class
1645,Dsl Cartridge,Dsl Template
1646,Action Message,Field
1647,point,Working Set
1648,Client,Pizza
1649,Atributo Vista,Vista
1650,Contract,Process
1651,False Literal,Bool Literal
1652,Prototype Element,Prototype
1653,Protocol Model,Chunk
1654,uniform_resource_locator,Rest Service
1655,Simulink Element,Identifier Reference
1656,Interface Fault,Interface
1657,Transitions,Top Region
1658,Role Permission,Field
1659,morn,Stereotype
1660,Payload,Request
1661,Text,Graphical Resource
1662,Decoration Figure,Polygon Decoration
1663,Logical Component,Service
1664,Agent,Net Address
1665,Model Reg,File
1666,Referenced File,Svg File
1667,Page,Style
1668,Network,Network Environment
1669,Supported Interfaces,Supported Interfaces
1670,Camera,Depth Camera
1671,Composite Mode,Conditional Connector
1672,Sequence,Sequences
1673,Symbol Reference,Value Decl
1674,Include Statement,Submodule Statement
1675,Name,Gruppen
1676,Script,File
1677,Dsl Model,Dsl Import
1678,Url Field,Field
1679,portion,common nutcracker
1680,Ref Association,Association
1681,Abstract View,Model View
1682,Rectangle Generator,Column Count
1683,View Container,Annotation
1684,Wsoap_ Module,Documentation
1685,Component,Modeling Element
1686,List,Expr
1687,Finder Def,Operation Def
1688,Type Selection,Var
1689,Head,Variable Name
1690,Smart Contract,Term
1691,Expression,Binop_ Expression
1692,Event,Parameter
1693,String Type,Basic Type
1694,Encuesta,Modulos
1695,gun_trigger,sort
1696,Value,Base Regions
1697,Ranking,Ranking Entry
1698,User,Member
1699,Caracteristicas,Transiciones
1700,Terminate,Ivr Action
1701,Element,Capability
1702,Layout,Zone
1703,Rdbms Field,Rdbms Table
1704,vision,economic_value
1705,Generic Expression,Arg List
1706,Container,Volumes
1707,sexual_intercourse,Transformation
1708,Relative Direction,Cardinal Direction
